R	3.1318	1.5374	0.4961	1477010443150000	-0.0024	2.8500	-0.0314	0.9995
R	3.1608	1.5559	1.0312	1477010443950000	-0.1334	3.6370	-0.2790	0.9603
R	4.4328	1.6744	1.2221	1477010444750000	-0.4560	4.3668	-0.5090	0.8607
R	4.9818	1.7490	0.6775	1477010445550000	-0.9500	4.9934	-0.7071	0.7071
R	5.8151	1.9047	0.7716	1477010446350000	-1.5843	5.4775	-0.8607	0.5090
R	6.1637	1.9321	0.5693	1477010447150000	-2.3190	5.7886	-0.9603	0.2790
R	6.5809	2.0929	0.7810	1477010447950000	-3.1080	5.9073	-0.9995	0.0314
R	6.4304	2.1892	0.6579	1477010448750000	-3.9018	5.8259	-0.9759	-0.2181
R	7.1966	2.2709	-0.3964	1477010449550000	-4.6504	5.5498	-0.8910	-0.4540
R	7.4663	2.3424	0.2527	1477010450350000	-5.3068	5.0961	-0.7501	-0.6613
R	7.4780	2.4531	-0.3052	1477010451150000	-5.8297	4.4935	-0.5621	-0.8271
R	6.6679	2.5935	-0.9046	1477010451950000	-6.1864	3.7797	-0.3388	-0.9409
R	7.1428	2.7332	-0.3996	1477010452750000	-6.3543	2.9997	-0.0941	-0.9956
R	6.5139	2.7877	-0.8875	1477010453550000	-6.3230	2.2024	0.1564	-0.9877
R	6.2896	2.8859	-0.4577	1477010454350000	-6.0944	1.4379	0.3971	-0.9178
R	5.7740	2.9769	-0.9716	1477010455150000	-5.6828	0.7543	0.6129	-0.7902
R	5.0434	3.1160	-1.1108	1477010455950000	-5.1142	0.1946	0.7901	-0.6129
R	4.2441	-3.0760	-0.1461	1477010456750000	-4.4242	-0.2062	0.9177	-0.3972
R	4.3331	-2.9939	-0.3623	1477010457550000	-3.6563	-0.4228	0.9877	-0.1565
R	2.7674	-2.9441	-1.1119	1477010458350000	-2.8586	-0.4416	0.9956	0.0941
R	2.1702	-3.0055	-0.6068	1477010459150000	-2.0813	-0.2614	0.9409	0.3387
R	1.0496	3.0426	-1.4822	1477010459950000	-1.3732	0.1064	0.8271	0.5621
R	1.0946	2.4484	0.2990	1477010460750000	-0.7789	0.6388	0.6613	0.7501
R	1.3286	1.7949	0.8750	1477010461550000	-0.3356	1.3022	0.4540	0.8910
R	2.3645	1.5934	0.9123	1477010462350000	-0.0712	2.0550	0.2182	0.9759
R	2.8301	1.5811	1.5139	1477010463150000	-0.0008	2.8500	0.0000	1.0000
R	3.3863	1.5191	1.2185	1477010463950000	0.1054	3.6408	0.2487	0.9686
R	4.8304	1.4607	0.3114	1477010464750000	0.4050	4.3803	0.4818	0.8763
R	5.3690	1.3666	1.3798	1477010465550000	0.8790	5.0222	0.6846	0.7289
R	5.1855	1.3199	0.6757	1477010466350000	1.4978	5.5259	0.8443	0.5358
R	6.2584	1.2026	0.8549	1477010467150000	2.2224	5.8600	0.9511	0.3090
R	6.3237	1.0835	0.6630	1477010467950000	3.0073	6.0033	0.9980	0.0628
R	7.2037	1.0108	0.1987	1477010468750000	3.8032	5.9470	0.9823	-0.1874
R	7.9637	0.9297	0.2052	1477010469550000	4.5601	5.6944	0.9048	-0.4258
R	7.6707	0.8230	0.3561	1477010470350000	5.2305	5.2616	0.7705	-0.6374
R	7.1110	0.6790	-0.4622	1477010471150000	5.7721	4.6757	0.5878	-0.8090
R	7.5709	0.5882	-0.3831	1477010471950000	6.1510	3.9735	0.3681	-0.9298
R	7.0222	0.4491	-0.5619	1477010472750000	6.3433	3.1991	0.1253	-0.9921
R	7.0885	0.4079	-0.2554	1477010473550000	6.3370	2.4012	-0.1253	-0.9921
R	6.0315	0.2676	-0.8362	1477010474350000	6.1325	1.6300	-0.3681	-0.9298
R	6.2692	0.1468	-0.8067	1477010475150000	5.7427	0.9338	-0.5878	-0.8090
R	5.0265	0.0928	-0.6400	1477010475950000	5.1919	0.3565	-0.7705	-0.6374
R	4.7682	0.0299	-0.9875	1477010476750000	4.5149	-0.0658	-0.9048	-0.4258
R	3.2821	-0.1017	-1.0517	1477010477550000	3.7541	-0.3064	-0.9823	-0.1874
R	2.8945	-0.1205	-1.0744	1477010478350000	2.9574	-0.3502	-0.9980	0.0628
R	1.7296	-0.1141	-0.9877	1477010479150000	2.1749	-0.1945	-0.9511	0.3090
R	1.3182	0.0925	-0.9390	1477010479950000	1.4556	0.1509	-0.8443	0.5358
R	0.7709	0.6611	0.1848	1477010480750000	0.8448	0.6643	-0.6845	0.7290
R	1.4517	1.3333	0.4893	1477010481550000	0.3809	1.3135	-0.4818	0.8763
R	1.6621	1.4967	1.0704	1477010482350000	0.0930	2.0576	-0.2487	0.9686
R	2.9163	1.5793	0.8277	1477010483150000	-0.0008	2.8500	0.0000	1.0000
